Nota: 4346
Data: 1937-08-10
Cliente: Jesus Sales Ltda.
CPF: 71227268837
Endereco: Esta��o Sales, 45
Cidade: Pinto
Estado: RR
Lista: 
 ItemNotaFiscal{itemNumero='1', descricao='neque', quantidade=6, valorUnitario=76.19, proximo=null}
 ItemNotaFiscal{itemNumero='14', descricao='aspernatur', quantidade=1, valorUnitario=10.06, proximo=null}
 ItemNotaFiscal{itemNumero='15', descricao='reprehenderit', quantidade=5, valorUnitario=97.84, proximo=null}
 ItemNotaFiscal{itemNumero='16', descricao='in', quantidade=10, valorUnitario=18.16, proximo=null}
 ItemNotaFiscal{itemNumero='17', descricao='debitis', quantidade=9, valorUnitario=52.26, proximo=null}
 ItemNotaFiscal{itemNumero='18', descricao='facilis', quantidade=2, valorUnitario=32.5, proximo=null}
 ItemNotaFiscal{itemNumero='19', descricao='laboriosam', quantidade=8, valorUnitario=87.73, proximo=null}
 ItemNotaFiscal{itemNumero='20', descricao='placeat', quantidade=10, valorUnitario=47.55, proximo=null}


Nota: 3605
Data: 1946-11-07
Cliente: Nogueira
CPF: 15301996309
Endereco: Esta��o de da Cruz, 93
Cidade: da Cruz
Estado: MS
Lista: 
 ItemNotaFiscal{itemNumero='1', descricao='officia', quantidade=2, valorUnitario=97.41, proximo=null}
 ItemNotaFiscal{itemNumero='2', descricao='et', quantidade=5, valorUnitario=16.19, proximo=null}
 ItemNotaFiscal{itemNumero='3', descricao='impedit', quantidade=4, valorUnitario=90.74, proximo=null}
 ItemNotaFiscal{itemNumero='4', descricao='eum', quantidade=5, valorUnitario=11.21, proximo=null}
 ItemNotaFiscal{itemNumero='5', descricao='officia', quantidade=2, valorUnitario=37.07, proximo=null}
 ItemNotaFiscal{itemNumero='6', descricao='itaque', quantidade=2, valorUnitario=47.25, proximo=null}
 ItemNotaFiscal{itemNumero='7', descricao='velit', quantidade=3, valorUnitario=52.78, proximo=null}
 ItemNotaFiscal{itemNumero='8', descricao='facere', quantidade=10, valorUnitario=33.17, proximo=null}
 ItemNotaFiscal{itemNumero='9', descricao='consequatur', quantidade=4, valorUnitario=33.76, proximo=null}
 ItemNotaFiscal{itemNumero='10', descricao='ad', quantidade=1, valorUnitario=20.76, proximo=null}
 ItemNotaFiscal{itemNumero='11', descricao='illo', quantidade=1, valorUnitario=16.57, proximo=null}
 ItemNotaFiscal{itemNumero='12', descricao='harum', quantidade=8, valorUnitario=67.52, proximo=null}
 ItemNotaFiscal{itemNumero='13', descricao='non', quantidade=1, valorUnitario=90.72, proximo=null}
 ItemNotaFiscal{itemNumero='14', descricao='adipisci', quantidade=6, valorUnitario=42.92, proximo=null}
 ItemNotaFiscal{itemNumero='15', descricao='exercitationem', quantidade=10, valorUnitario=15.95, proximo=null}
 ItemNotaFiscal{itemNumero='16', descricao='exercitationem', quantidade=3, valorUnitario=29.66, proximo=null}
 ItemNotaFiscal{itemNumero='17', descricao='ad', quantidade=7, valorUnitario=70.59, proximo=null}
 ItemNotaFiscal{itemNumero='18', descricao='ut', quantidade=7, valorUnitario=98.54, proximo=null}
 ItemNotaFiscal{itemNumero='19', descricao='beatae', quantidade=3, valorUnitario=46.48, proximo=null}
 ItemNotaFiscal{itemNumero='20', descricao='ipsa', quantidade=10, valorUnitario=24.14, proximo=null}
 ItemNotaFiscal{itemNumero='21', descricao='sit', quantidade=8, valorUnitario=45.62, proximo=null}
 ItemNotaFiscal{itemNumero='22', descricao='maxime', quantidade=7, valorUnitario=15.02, proximo=null}
 ItemNotaFiscal{itemNumero='23', descricao='occaecati', quantidade=10, valorUnitario=61.98, proximo=null}
 ItemNotaFiscal{itemNumero='24', descricao='magni', quantidade=10, valorUnitario=99.04, proximo=null}
 ItemNotaFiscal{itemNumero='25', descricao='impedit', quantidade=10, valorUnitario=38.28, proximo=null}
 ItemNotaFiscal{itemNumero='26', descricao='delectus', quantidade=5, valorUnitario=37.05, proximo=null}
 ItemNotaFiscal{itemNumero='27', descricao='blanditiis', quantidade=1, valorUnitario=19.85, proximo=null}
 ItemNotaFiscal{itemNumero='28', descricao='necessitatibus', quantidade=4, valorUnitario=71.59, proximo=null}
 ItemNotaFiscal{itemNumero='29', descricao='quo', quantidade=5, valorUnitario=57.93, proximo=null}


Nota: 5744
Data: 1946-12-29
Cliente: Melo
CPF: 72862374365
Endereco: Vila Freitas, 27
Cidade: das Neves
Estado: DF
Lista: 
 ItemNotaFiscal{itemNumero='1', descricao='quaerat', quantidade=1, valorUnitario=89.12, proximo=null}
 ItemNotaFiscal{itemNumero='2', descricao='ipsam', quantidade=7, valorUnitario=25.3, proximo=null}
 ItemNotaFiscal{itemNumero='3', descricao='vero', quantidade=4, valorUnitario=80.38, proximo=null}
 ItemNotaFiscal{itemNumero='4', descricao='error', quantidade=8, valorUnitario=53.53, proximo=null}
 ItemNotaFiscal{itemNumero='5', descricao='nulla', quantidade=1, valorUnitario=69.76, proximo=null}
 ItemNotaFiscal{itemNumero='6', descricao='dignissimos', quantidade=3, valorUnitario=84.05, proximo=null}
 ItemNotaFiscal{itemNumero='7', descricao='velit', quantidade=10, valorUnitario=79.87, proximo=null}
 ItemNotaFiscal{itemNumero='8', descricao='amet', quantidade=10, valorUnitario=84.77, proximo=null}
 ItemNotaFiscal{itemNumero='9', descricao='iure', quantidade=2, valorUnitario=52.26, proximo=null}
 ItemNotaFiscal{itemNumero='10', descricao='repellat', quantidade=7, valorUnitario=87.18, proximo=null}
 ItemNotaFiscal{itemNumero='11', descricao='quos', quantidade=3, valorUnitario=14.6, proximo=null}
 ItemNotaFiscal{itemNumero='12', descricao='aspernatur', quantidade=9, valorUnitario=34.84, proximo=null}
 ItemNotaFiscal{itemNumero='13', descricao='ipsum', quantidade=2, valorUnitario=99.23, proximo=null}
 ItemNotaFiscal{itemNumero='14', descricao='fuga', quantidade=2, valorUnitario=47.59, proximo=null}
 ItemNotaFiscal{itemNumero='15', descricao='in', quantidade=2, valorUnitario=68.59, proximo=null}
 ItemNotaFiscal{itemNumero='16', descricao='quo', quantidade=2, valorUnitario=56.39, proximo=null}
 ItemNotaFiscal{itemNumero='17', descricao='nobis', quantidade=2, valorUnitario=46.75, proximo=null}
 ItemNotaFiscal{itemNumero='18', descricao='quasi', quantidade=6, valorUnitario=80.54, proximo=null}
 ItemNotaFiscal{itemNumero='19', descricao='porro', quantidade=9, valorUnitario=10.42, proximo=null}
 ItemNotaFiscal{itemNumero='20', descricao='possimus', quantidade=5, valorUnitario=83.24, proximo=null}
 ItemNotaFiscal{itemNumero='21', descricao='doloribus', quantidade=1, valorUnitario=71.32, proximo=null}
 ItemNotaFiscal{itemNumero='22', descricao='deserunt', quantidade=9, valorUnitario=67.14, proximo=null}
 ItemNotaFiscal{itemNumero='23', descricao='dolorem', quantidade=1, valorUnitario=70.44, proximo=null}
 ItemNotaFiscal{itemNumero='24', descricao='ipsam', quantidade=1, valorUnitario=80.12, proximo=null}
 ItemNotaFiscal{itemNumero='25', descricao='odit', quantidade=8, valorUnitario=30.39, proximo=null}
 ItemNotaFiscal{itemNumero='26', descricao='accusamus', quantidade=10, valorUnitario=50.46, proximo=null}
 ItemNotaFiscal{itemNumero='27', descricao='quidem', quantidade=3, valorUnitario=25.33, proximo=null}


Nota: 4847
Data: 1952-09-06
Cliente: Nogueira
CPF: 52742929916
Endereco: Distrito Lav�nia Rodrigues, 11
Cidade: Rezende do Campo
Estado: PR
Lista: 
 ItemNotaFiscal{itemNumero='1', descricao='ut', quantidade=1, valorUnitario=12.73, proximo=null}
 ItemNotaFiscal{itemNumero='2', descricao='odit', quantidade=3, valorUnitario=15.98, proximo=null}
 ItemNotaFiscal{itemNumero='3', descricao='minima', quantidade=5, valorUnitario=13.3, proximo=null}
 ItemNotaFiscal{itemNumero='4', descricao='fuga', quantidade=6, valorUnitario=18.34, proximo=null}
 ItemNotaFiscal{itemNumero='5', descricao='cupiditate', quantidade=2, valorUnitario=49.21, proximo=null}
 ItemNotaFiscal{itemNumero='6', descricao='officiis', quantidade=1, valorUnitario=34.82, proximo=null}
 ItemNotaFiscal{itemNumero='7', descricao='at', quantidade=7, valorUnitario=71.27, proximo=null}
 ItemNotaFiscal{itemNumero='8', descricao='repudiandae', quantidade=9, valorUnitario=88.82, proximo=null}
 ItemNotaFiscal{itemNumero='9', descricao='corrupti', quantidade=10, valorUnitario=45.23, proximo=null}
 ItemNotaFiscal{itemNumero='10', descricao='aperiam', quantidade=3, valorUnitario=81.08, proximo=null}
 ItemNotaFiscal{itemNumero='11', descricao='ipsam', quantidade=8, valorUnitario=76.92, proximo=null}
 ItemNotaFiscal{itemNumero='12', descricao='consectetur', quantidade=9, valorUnitario=10.92, proximo=null}
 ItemNotaFiscal{itemNumero='13', descricao='suscipit', quantidade=8, valorUnitario=57.8, proximo=null}
 ItemNotaFiscal{itemNumero='14', descricao='quisquam', quantidade=1, valorUnitario=68.2, proximo=null}
 ItemNotaFiscal{itemNumero='15', descricao='odio', quantidade=8, valorUnitario=84.86, proximo=null}
 ItemNotaFiscal{itemNumero='16', descricao='ducimus', quantidade=1, valorUnitario=56.4, proximo=null}
 ItemNotaFiscal{itemNumero='17', descricao='corrupti', quantidade=1, valorUnitario=75.75, proximo=null}
 ItemNotaFiscal{itemNumero='18', descricao='excepturi', quantidade=8, valorUnitario=68.87, proximo=null}


Nota: 8309
Data: 1953-11-20
Cliente: Lopes
CPF: 34734196116
Endereco: Vereda da Concei��o, 65
Cidade: da Mata Alegre
Estado: ES
Lista: 
 ItemNotaFiscal{itemNumero='1', descricao='recusandae', quantidade=6, valorUnitario=37.71, proximo=null}
 ItemNotaFiscal{itemNumero='2', descricao='laudantium', quantidade=1, valorUnitario=73.4, proximo=null}
 ItemNotaFiscal{itemNumero='3', descricao='harum', quantidade=9, valorUnitario=41.48, proximo=null}
 ItemNotaFiscal{itemNumero='4', descricao='hic', quantidade=7, valorUnitario=72.81, proximo=null}
 ItemNotaFiscal{itemNumero='5', descricao='doloremque', quantidade=3, valorUnitario=65.35, proximo=null}
 ItemNotaFiscal{itemNumero='6', descricao='quae', quantidade=8, valorUnitario=71.48, proximo=null}
 ItemNotaFiscal{itemNumero='7', descricao='inventore', quantidade=5, valorUnitario=54.18, proximo=null}
 ItemNotaFiscal{itemNumero='8', descricao='repudiandae', quantidade=10, valorUnitario=59.9, proximo=null}
 ItemNotaFiscal{itemNumero='9', descricao='saepe', quantidade=10, valorUnitario=91.58, proximo=null}
 ItemNotaFiscal{itemNumero='10', descricao='distinctio', quantidade=4, valorUnitario=12.08, proximo=null}
 ItemNotaFiscal{itemNumero='11', descricao='odit', quantidade=1, valorUnitario=65.18, proximo=null}
 ItemNotaFiscal{itemNumero='12', descricao='unde', quantidade=5, valorUnitario=57.13, proximo=null}
 ItemNotaFiscal{itemNumero='13', descricao='sint', quantidade=9, valorUnitario=75.72, proximo=null}
 ItemNotaFiscal{itemNumero='14', descricao='atque', quantidade=5, valorUnitario=95.86, proximo=null}
 ItemNotaFiscal{itemNumero='15', descricao='nemo', quantidade=5, valorUnitario=23.63, proximo=null}
 ItemNotaFiscal{itemNumero='16', descricao='sapiente', quantidade=10, valorUnitario=90.8, proximo=null}
 ItemNotaFiscal{itemNumero='17', descricao='assumenda', quantidade=8, valorUnitario=58.44, proximo=null}
 ItemNotaFiscal{itemNumero='18', descricao='corrupti', quantidade=10, valorUnitario=81.71, proximo=null}
 ItemNotaFiscal{itemNumero='19', descricao='praesentium', quantidade=4, valorUnitario=46.86, proximo=null}
 ItemNotaFiscal{itemNumero='20', descricao='placeat', quantidade=1, valorUnitario=65.08, proximo=null}


Nota: 5275
Data: 1944-05-03
Cliente: Cardoso da Luz Ltda.
CPF: 69799045396
Endereco: Parque Gon�alves
Cidade: Teixeira
Estado: PI
Lista: 
 ItemNotaFiscal{itemNumero='1', descricao='eos', quantidade=7, valorUnitario=26.62, proximo=null}
 ItemNotaFiscal{itemNumero='2', descricao='cum', quantidade=10, valorUnitario=99.09, proximo=null}
 ItemNotaFiscal{itemNumero='3', descricao='occaecati', quantidade=3, valorUnitario=46.25, proximo=null}
 ItemNotaFiscal{itemNumero='4', descricao='modi', quantidade=9, valorUnitario=67.48, proximo=null}
 ItemNotaFiscal{itemNumero='5', descricao='sapiente', quantidade=7, valorUnitario=74.77, proximo=null}
 ItemNotaFiscal{itemNumero='6', descricao='repellendus', quantidade=8, valorUnitario=77.72, proximo=null}
 ItemNotaFiscal{itemNumero='7', descricao='commodi', quantidade=8, valorUnitario=75.43, proximo=null}
 ItemNotaFiscal{itemNumero='8', descricao='ipsam', quantidade=8, valorUnitario=95.43, proximo=null}
 ItemNotaFiscal{itemNumero='9', descricao='vero', quantidade=10, valorUnitario=44.73, proximo=null}
 ItemNotaFiscal{itemNumero='10', descricao='odio', quantidade=8, valorUnitario=20.51, proximo=null}
 ItemNotaFiscal{itemNumero='11', descricao='provident', quantidade=9, valorUnitario=60.91, proximo=null}
 ItemNotaFiscal{itemNumero='12', descricao='aperiam', quantidade=2, valorUnitario=76.25, proximo=null}
 ItemNotaFiscal{itemNumero='13', descricao='quod', quantidade=9, valorUnitario=68.97, proximo=null}
 ItemNotaFiscal{itemNumero='14', descricao='laudantium', quantidade=6, valorUnitario=76.66, proximo=null}
 ItemNotaFiscal{itemNumero='15', descricao='rem', quantidade=2, valorUnitario=46.14, proximo=null}
 ItemNotaFiscal{itemNumero='16', descricao='corporis', quantidade=9, valorUnitario=57.63, proximo=null}
 ItemNotaFiscal{itemNumero='17', descricao='sint', quantidade=9, valorUnitario=15.4, proximo=null}
 ItemNotaFiscal{itemNumero='18', descricao='repellat', quantidade=6, valorUnitario=76.76, proximo=null}
 ItemNotaFiscal{itemNumero='19', descricao='magni', quantidade=5, valorUnitario=87.5, proximo=null}
 ItemNotaFiscal{itemNumero='20', descricao='ex', quantidade=8, valorUnitario=24.13, proximo=null}
 ItemNotaFiscal{itemNumero='21', descricao='voluptates', quantidade=1, valorUnitario=31.84, proximo=null}
 ItemNotaFiscal{itemNumero='22', descricao='delectus', quantidade=9, valorUnitario=86.88, proximo=null}
 ItemNotaFiscal{itemNumero='23', descricao='molestias', quantidade=5, valorUnitario=15.35, proximo=null}
 ItemNotaFiscal{itemNumero='24', descricao='et', quantidade=8, valorUnitario=88.47, proximo=null}
 ItemNotaFiscal{itemNumero='25', descricao='labore', quantidade=2, valorUnitario=44.32, proximo=null}


Nota: 9855
Data: 1955-03-02
Cliente: da Rosa
CPF: 32815856067
Endereco: Travessa de Fernandes, 1
Cidade: Melo
Estado: AM
Lista: 
 ItemNotaFiscal{itemNumero='1', descricao='iusto', quantidade=1, valorUnitario=10.88, proximo=null}
 ItemNotaFiscal{itemNumero='2', descricao='vel', quantidade=8, valorUnitario=95.71, proximo=null}
 ItemNotaFiscal{itemNumero='3', descricao='at', quantidade=5, valorUnitario=70.93, proximo=null}
 ItemNotaFiscal{itemNumero='4', descricao='libero', quantidade=10, valorUnitario=16.94, proximo=null}


Nota: 3020
Data: 1957-01-27
Cliente: Jesus
CPF: 91954524371
Endereco: Fazenda de Monteiro, 839
Cidade: Silva
Estado: RN
Lista: 
 ItemNotaFiscal{itemNumero='1', descricao='nemo', quantidade=3, valorUnitario=95.73, proximo=null}
 ItemNotaFiscal{itemNumero='2', descricao='earum', quantidade=4, valorUnitario=39.35, proximo=null}
 ItemNotaFiscal{itemNumero='3', descricao='recusandae', quantidade=9, valorUnitario=13.52, proximo=null}
 ItemNotaFiscal{itemNumero='4', descricao='maiores', quantidade=5, valorUnitario=95.35, proximo=null}
 ItemNotaFiscal{itemNumero='5', descricao='iusto', quantidade=1, valorUnitario=53.3, proximo=null}


Nota: 7832
Data: 1957-08-25
Cliente: da Luz
CPF: 67275415566
Endereco: Ch�cara Barros, 65
Cidade: da Mata Grande
Estado: SP
Lista: 
 ItemNotaFiscal{itemNumero='1', descricao='minima', quantidade=8, valorUnitario=38.42, proximo=null}
 ItemNotaFiscal{itemNumero='2', descricao='nisi', quantidade=6, valorUnitario=32.84, proximo=null}
 ItemNotaFiscal{itemNumero='3', descricao='placeat', quantidade=7, valorUnitario=36.7, proximo=null}
 ItemNotaFiscal{itemNumero='4', descricao='ab', quantidade=4, valorUnitario=40.64, proximo=null}
 ItemNotaFiscal{itemNumero='5', descricao='vel', quantidade=10, valorUnitario=29.85, proximo=null}
 ItemNotaFiscal{itemNumero='6', descricao='laudantium', quantidade=7, valorUnitario=77.38, proximo=null}
 ItemNotaFiscal{itemNumero='7', descricao='optio', quantidade=4, valorUnitario=46.41, proximo=null}
 ItemNotaFiscal{itemNumero='8', descricao='vitae', quantidade=4, valorUnitario=51.47, proximo=null}
 ItemNotaFiscal{itemNumero='9', descricao='nesciunt', quantidade=6, valorUnitario=13.34, proximo=null}
 ItemNotaFiscal{itemNumero='10', descricao='consequatur', quantidade=1, valorUnitario=79.43, proximo=null}
 ItemNotaFiscal{itemNumero='11', descricao='aliquid', quantidade=9, valorUnitario=55.95, proximo=null}
 ItemNotaFiscal{itemNumero='12', descricao='rem', quantidade=1, valorUnitario=54.18, proximo=null}
 ItemNotaFiscal{itemNumero='13', descricao='aperiam', quantidade=1, valorUnitario=20.85, proximo=null}


Nota: 2011
Data: 1950-06-07
Cliente: Fernandes
CPF: 58586194845
Endereco: Morro Calebe da Concei��o
Cidade: Nunes
Estado: RN
Lista: 
 ItemNotaFiscal{itemNumero='1', descricao='maxime', quantidade=10, valorUnitario=21.64, proximo=null}
 ItemNotaFiscal{itemNumero='2', descricao='fuga', quantidade=7, valorUnitario=89.86, proximo=null}
 ItemNotaFiscal{itemNumero='3', descricao='quis', quantidade=4, valorUnitario=26.99, proximo=null}
 ItemNotaFiscal{itemNumero='4', descricao='necessitatibus', quantidade=4, valorUnitario=36.28, proximo=null}
 ItemNotaFiscal{itemNumero='5', descricao='dolores', quantidade=5, valorUnitario=96.82, proximo=null}
 ItemNotaFiscal{itemNumero='6', descricao='cum', quantidade=7, valorUnitario=85.22, proximo=null}
 ItemNotaFiscal{itemNumero='7', descricao='cumque', quantidade=10, valorUnitario=87.09, proximo=null}
 ItemNotaFiscal{itemNumero='8', descricao='laudantium', quantidade=5, valorUnitario=14.72, proximo=null}
 ItemNotaFiscal{itemNumero='9', descricao='perferendis', quantidade=3, valorUnitario=42.04, proximo=null}
 ItemNotaFiscal{itemNumero='10', descricao='deleniti', quantidade=10, valorUnitario=53.79, proximo=null}
 ItemNotaFiscal{itemNumero='11', descricao='repellendus', quantidade=9, valorUnitario=53.37, proximo=null}
 ItemNotaFiscal{itemNumero='12', descricao='reprehenderit', quantidade=10, valorUnitario=29.69, proximo=null}
 ItemNotaFiscal{itemNumero='13', descricao='perferendis', quantidade=1, valorUnitario=90.34, proximo=null}
 ItemNotaFiscal{itemNumero='14', descricao='perspiciatis', quantidade=3, valorUnitario=68.75, proximo=null}
 ItemNotaFiscal{itemNumero='15', descricao='est', quantidade=9, valorUnitario=89.12, proximo=null}
 ItemNotaFiscal{itemNumero='16', descricao='nostrum', quantidade=9, valorUnitario=87.8, proximo=null}
 ItemNotaFiscal{itemNumero='17', descricao='ullam', quantidade=9, valorUnitario=69.06, proximo=null}
 ItemNotaFiscal{itemNumero='18', descricao='aperiam', quantidade=9, valorUnitario=53.39, proximo=null}
 ItemNotaFiscal{itemNumero='19', descricao='atque', quantidade=8, valorUnitario=54.88, proximo=null}
 ItemNotaFiscal{itemNumero='20', descricao='fugiat', quantidade=4, valorUnitario=75.2, proximo=null}
 ItemNotaFiscal{itemNumero='21', descricao='sunt', quantidade=8, valorUnitario=98.97, proximo=null}


Nota: 9063
Data: 1958-06-08
Cliente: da Mata Cardoso S/A
CPF: 70202079437
Endereco: Lagoa de Cardoso, 4
Cidade: Ara�jo
Estado: TO
Lista: 
 ItemNotaFiscal{itemNumero='1', descricao='nam', quantidade=6, valorUnitario=80.82, proximo=null}
 ItemNotaFiscal{itemNumero='2', descricao='sunt', quantidade=9, valorUnitario=96.63, proximo=null}
 ItemNotaFiscal{itemNumero='3', descricao='deserunt', quantidade=5, valorUnitario=85.91, proximo=null}
 ItemNotaFiscal{itemNumero='4', descricao='illo', quantidade=2, valorUnitario=29.38, proximo=null}
 ItemNotaFiscal{itemNumero='5', descricao='molestiae', quantidade=5, valorUnitario=59.95, proximo=null}
 ItemNotaFiscal{itemNumero='6', descricao='aliquid', quantidade=5, valorUnitario=14.06, proximo=null}
 ItemNotaFiscal{itemNumero='7', descricao='dolorum', quantidade=2, valorUnitario=75.15, proximo=null}
 ItemNotaFiscal{itemNumero='8', descricao='laborum', quantidade=4, valorUnitario=89.69, proximo=null}
 ItemNotaFiscal{itemNumero='9', descricao='modi', quantidade=1, valorUnitario=26.37, proximo=null}
 ItemNotaFiscal{itemNumero='10', descricao='consequatur', quantidade=6, valorUnitario=44.74, proximo=null}
 ItemNotaFiscal{itemNumero='11', descricao='soluta', quantidade=4, valorUnitario=59.79, proximo=null}
 ItemNotaFiscal{itemNumero='12', descricao='odio', quantidade=10, valorUnitario=96.38, proximo=null}
 ItemNotaFiscal{itemNumero='13', descricao='nihil', quantidade=10, valorUnitario=46.64, proximo=null}
 ItemNotaFiscal{itemNumero='14', descricao='esse', quantidade=7, valorUnitario=60.96, proximo=null}
 ItemNotaFiscal{itemNumero='15', descricao='iusto', quantidade=6, valorUnitario=25.34, proximo=null}
 ItemNotaFiscal{itemNumero='16', descricao='autem', quantidade=7, valorUnitario=44.58, proximo=null}
 ItemNotaFiscal{itemNumero='17', descricao='modi', quantidade=1, valorUnitario=35.68, proximo=null}
 ItemNotaFiscal{itemNumero='18', descricao='explicabo', quantidade=3, valorUnitario=98.07, proximo=null}
 ItemNotaFiscal{itemNumero='19', descricao='est', quantidade=10, valorUnitario=17.61, proximo=null}
 ItemNotaFiscal{itemNumero='20', descricao='tempora', quantidade=10, valorUnitario=75.4, proximo=null}
 ItemNotaFiscal{itemNumero='21', descricao='eligendi', quantidade=4, valorUnitario=16.35, proximo=null}
 ItemNotaFiscal{itemNumero='22', descricao='sapiente', quantidade=3, valorUnitario=50.77, proximo=null}
 ItemNotaFiscal{itemNumero='23', descricao='accusamus', quantidade=8, valorUnitario=23.76, proximo=null}
 ItemNotaFiscal{itemNumero='24', descricao='consequuntur', quantidade=5, valorUnitario=13.58, proximo=null}
 ItemNotaFiscal{itemNumero='25', descricao='facere', quantidade=7, valorUnitario=16.67, proximo=null}
 ItemNotaFiscal{itemNumero='26', descricao='dignissimos', quantidade=7, valorUnitario=71.65, proximo=null}
 ItemNotaFiscal{itemNumero='27', descricao='perferendis', quantidade=6, valorUnitario=85.84, proximo=null}
 ItemNotaFiscal{itemNumero='28', descricao='itaque', quantidade=4, valorUnitario=30.75, proximo=null}
 ItemNotaFiscal{itemNumero='29', descricao='sunt', quantidade=5, valorUnitario=77.15, proximo=null}
 ItemNotaFiscal{itemNumero='30', descricao='ex', quantidade=8, valorUnitario=84.22, proximo=null}


Nota: 6464
Data: 1958-08-31
Cliente: Silva
CPF: 67076461892
Endereco: Avenida de Lopes, 90
Cidade: Peixoto Grande
Estado: PI
Lista: 
 ItemNotaFiscal{itemNumero='1', descricao='itaque', quantidade=8, valorUnitario=25.68, proximo=null}
 ItemNotaFiscal{itemNumero='2', descricao='maiores', quantidade=1, valorUnitario=25.9, proximo=null}
 ItemNotaFiscal{itemNumero='3', descricao='consequatur', quantidade=7, valorUnitario=51.77, proximo=null}
 ItemNotaFiscal{itemNumero='4', descricao='consequatur', quantidade=9, valorUnitario=65.48, proximo=null}
 ItemNotaFiscal{itemNumero='5', descricao='blanditiis', quantidade=2, valorUnitario=37.39, proximo=null}
 ItemNotaFiscal{itemNumero='6', descricao='tempora', quantidade=6, valorUnitario=55.02, proximo=null}
 ItemNotaFiscal{itemNumero='7', descricao='veniam', quantidade=3, valorUnitario=50.06, proximo=null}
 ItemNotaFiscal{itemNumero='8', descricao='maiores', quantidade=10, valorUnitario=53.42, proximo=null}
 ItemNotaFiscal{itemNumero='9', descricao='dolorem', quantidade=4, valorUnitario=77.58, proximo=null}
 ItemNotaFiscal{itemNumero='10', descricao='totam', quantidade=10, valorUnitario=28.24, proximo=null}
 ItemNotaFiscal{itemNumero='11', descricao='rerum', quantidade=7, valorUnitario=90.62, proximo=null}
 ItemNotaFiscal{itemNumero='12', descricao='error', quantidade=7, valorUnitario=78.93, proximo=null}
 ItemNotaFiscal{itemNumero='13', descricao='excepturi', quantidade=3, valorUnitario=66.05, proximo=null}
 ItemNotaFiscal{itemNumero='14', descricao='eveniet', quantidade=4, valorUnitario=10.17, proximo=null}
 ItemNotaFiscal{itemNumero='15', descricao='excepturi', quantidade=4, valorUnitario=36.46, proximo=null}
